run_id,id,name,website,platform,handle,profile_url,metric_label,count,raw_display_text,count_precision,status,error,source_url,captured_at,fetch_method,notes
2026-09-16_09-25-17-709,049-x,IAI (Istituto Affari Internazionali),https://www.iai.it/en,X,IAIonline,https://x.com/IAIonline,Followers,30135,30135,exact_public,collected,,https://x.com/IAIonline,2026-09-16T09:54:49.051Z,static,Verified — institutional link | Source: https://www.iai.it/en
2026-09-16_09-25-17-709,049-linkedin,IAI (Istituto Affari Internazionali),https://www.iai.it/en,LinkedIn,company/istituto-affari-internazionali,https://www.linkedin.com/company/istituto-affari-internazionali,Followers,73851,"73,851",exact_public,collected,,https://www.linkedin.com/company/istituto-affari-internazionali,2026-09-16T09:54:50.959Z,static,Verified — institutional link | Source: https://www.iai.it/en
2026-09-16_09-25-17-709,049-instagram,IAI (Istituto Affari Internazionali),https://www.iai.it/en,Instagram,iai.insta,https://www.instagram.com/iai.insta,Followers,21994,21994,exact_public,collected,,https://www.instagram.com/iai.insta,2026-09-16T09:54:52.480Z,playwright,Verified — institutional link | Source: https://www.iai.it/en
2026-09-16_09-25-17-709,049-facebook,IAI (Istituto Affari Internazionali),https://www.iai.it/en,Facebook,IAIonline,https://www.facebook.com/IAIonline,Followers,25407,"25,407",exact_public,collected,,https://www.facebook.com/IAIonline,2026-09-16T09:55:04.799Z,playwright,Verified — institutional link | Source: https://www.iai.it/en
2026-09-16_09-25-17-709,050-youtube,Ifri (Institut français des relations internationales),https://www.ifri.org/en,YouTube,channel/UCpfLNjG97sWjGSKYiveWz3w,https://www.youtube.com/channel/UCpfLNjG97sWjGSKYiveWz3w,Subscribers,22000,22K,rounded_public,collected,,https://www.youtube.com/channel/UCpfLNjG97sWjGSKYiveWz3w,2026-09-16T09:55:17.575Z,playwright,Verified — institutional link | Source: https://www.ifri.org/en/about-ifri
2026-09-16_09-25-17-709,050-x,Ifri (Institut français des relations internationales),https://www.ifri.org/en,X,ifri_,https://x.com/ifri_,Followers,48230,48230,exact_public,collected,,https://x.com/ifri_,2026-09-16T09:55:29.491Z,static,Verified — institutional link | Source: https://www.ifri.org/en/about-ifri
2026-09-16_09-25-17-709,050-linkedin,Ifri (Institut français des relations internationales),https://www.ifri.org/en,LinkedIn,company/ifri,https://www.linkedin.com/company/ifri,Followers,106561,"106,561",exact_public,collected,,https://www.linkedin.com/company/ifri,2026-09-16T09:55:31.645Z,static,Verified — institutional link | Source: https://www.ifri.org/en/about-ifri
2026-09-16_09-25-17-709,050-instagram,Ifri (Institut français des relations internationales),https://www.ifri.org/en,Instagram,ifri_paris,https://www.instagram.com/ifri_paris,Followers,8070,8070,exact_public,collected,,https://www.instagram.com/ifri_paris,2026-09-16T09:55:33.123Z,playwright,Verified — institutional link | Source: https://www.ifri.org/en/about-ifri
2026-09-16_09-25-17-709,050-facebook,Ifri (Institut français des relations internationales),https://www.ifri.org/en,Facebook,IfriParis,https://www.facebook.com/IfriParis,Followers,108353,"108,353",exact_public,collected,,https://www.facebook.com/IfriParis,2026-09-16T09:55:45.298Z,playwright,Verified — institutional link | Source: https://www.ifri.org/en/about-ifri
2026-09-16_09-25-17-709,051-youtube,IISD (International Institute for Sustainable Development),https://www.iisd.org,YouTube,user/iisdvideo,https://www.youtube.com/user/iisdvideo,Subscribers,6500,6.5K,rounded_public,collected,,https://www.youtube.com/user/iisdvideo,2026-09-16T09:55:58.152Z,playwright,Verified — institutional link | Source: https://www.iisd.org
2026-09-16_09-25-17-709,051-x,IISD (International Institute for Sustainable Development),https://www.iisd.org,X,iisd_news,https://x.com/iisd_news,Followers,23873,23873,exact_public,collected,,https://x.com/iisd_news,2026-09-16T09:56:09.201Z,static,Verified — institutional link | Source: https://www.iisd.org
2026-09-16_09-25-17-709,051-linkedin,IISD (International Institute for Sustainable Development),https://www.iisd.org,LinkedIn,company/international-institute-for-sustainable-development,https://www.linkedin.com/company/international-institute-for-sustainable-development,Followers,271921,"271,921",exact_public,collected,,https://www.linkedin.com/company/international-institute-for-sustainable-development,2026-09-16T09:56:12.215Z,playwright,Verified — institutional link | Source: https://www.iisd.org
2026-09-16_09-25-17-709,052-youtube,IISS (International Institute for Strategic Studies),https://www.iiss.org,YouTube,channel/UCYygxNuTTlq2neh6Fu6rP4Q,https://www.youtube.com/channel/UCYygxNuTTlq2neh6Fu6rP4Q,Subscribers,46300,46.3K,rounded_public,collected,,https://www.youtube.com/channel/UCYygxNuTTlq2neh6Fu6rP4Q,2026-09-16T09:56:26.506Z,playwright,Corroborated — On Think Tanks directory | Source: https://onthinktanks.org/think-tank/international-institute-for-strategic-studies/ | Directory-listed account; institutional backlink was not accessible in this review.
2026-09-16_09-25-17-709,052-linkedin,IISS (International Institute for Strategic Studies),https://www.iiss.org,LinkedIn,company/international-institute-for-strategic-studies,https://www.linkedin.com/company/international-institute-for-strategic-studies,Followers,282607,"282,607",exact_public,collected,,https://www.linkedin.com/company/international-institute-for-strategic-studies,2026-09-16T09:56:37.731Z,static,Corroborated — On Think Tanks directory | Source: https://onthinktanks.org/think-tank/international-institute-for-strategic-studies/ | Directory-listed account; institutional backlink was not accessible in this review.
2026-09-16_09-25-17-709,053-youtube,India Foundation,https://indiafoundation.in,YouTube,channel/UCoa562Q8QrgTAAyqNsx36oA,https://www.youtube.com/channel/UCoa562Q8QrgTAAyqNsx36oA,Subscribers,32500,32.5K,rounded_public,collected,,https://www.youtube.com/channel/UCoa562Q8QrgTAAyqNsx36oA,2026-09-16T09:56:39.168Z,playwright,Verified — institutional link | Source: https://indiafoundation.in
2026-09-16_09-25-17-709,053-x,India Foundation,https://indiafoundation.in,X,indfoundation,https://x.com/indfoundation,Followers,57247,57247,exact_public,collected,,https://x.com/indfoundation,2026-09-16T09:56:50.238Z,static,Verified — institutional link | Source: https://indiafoundation.in
2026-09-16_09-25-17-709,053-linkedin,India Foundation,https://indiafoundation.in,LinkedIn,company/india-foundation-delhi,https://www.linkedin.com/company/india-foundation-delhi,Followers,29341,"29,341",exact_public,collected,,https://www.linkedin.com/company/india-foundation-delhi,2026-09-16T09:56:52.418Z,static,Verified — institutional link | Source: https://indiafoundation.in
2026-09-16_09-25-17-709,053-instagram,India Foundation,https://indiafoundation.in,Instagram,indiafoundation,https://www.instagram.com/indiafoundation,Followers,59655,59655,exact_public,collected,,https://www.instagram.com/indiafoundation,2026-09-16T09:56:53.957Z,playwright,Verified — institutional link | Source: https://indiafoundation.in
2026-09-16_09-25-17-709,053-facebook,India Foundation,https://indiafoundation.in,Facebook,IndiaFoundation,https://www.facebook.com/IndiaFoundation,Followers,24004,"24,004",exact_public,collected,,https://www.facebook.com/IndiaFoundation,2026-09-16T09:57:06.324Z,playwright,Verified — institutional link | Source: https://indiafoundation.in
2026-09-16_09-25-17-709,054-youtube,India Think Council,https://www.indiathink.org,YouTube,channel/UCA17X1xjY8MVFHwVyoNqYdg,https://www.youtube.com/channel/UCA17X1xjY8MVFHwVyoNqYdg,Subscribers,1800,1.8K,rounded_public,collected,,https://www.youtube.com/channel/UCA17X1xjY8MVFHwVyoNqYdg,2026-09-16T09:57:18.951Z,playwright,Verified — institutional link | Source: https://www.indiathink.org
2026-09-16_09-25-17-709,054-x,India Think Council,https://www.indiathink.org,X,IndiathinkOrg,https://x.com/IndiathinkOrg,Followers,1334,1334,exact_public,collected,,https://x.com/IndiathinkOrg,2026-09-16T09:57:30.290Z,static,Verified — institutional link | Source: https://www.indiathink.org
2026-09-16_09-25-17-709,054-linkedin,India Think Council,https://www.indiathink.org,LinkedIn,company/india-think-council,https://www.linkedin.com/company/india-think-council,Followers,811,811,exact_public,collected,,https://www.linkedin.com/company/india-think-council,2026-09-16T09:57:33.911Z,static,Verified — institutional link | Source: https://www.indiathink.org
2026-09-16_09-25-17-709,054-facebook,India Think Council,https://www.indiathink.org,Facebook,IndiaThink,https://www.facebook.com/IndiaThink,Followers,3180,"3,180",exact_public,collected,,https://www.facebook.com/IndiaThink,2026-09-16T09:57:35.525Z,playwright,Verified — institutional link | Source: https://www.indiathink.org
2026-09-16_09-25-17-709,055-youtube,Indian Council for Research on International Economic Relations,https://icrier.org,YouTube,channel/UCgiOH9iQULzxSsyIBnEjWrw,https://www.youtube.com/channel/UCgiOH9iQULzxSsyIBnEjWrw,Subscribers,2940,2.94K,rounded_public,collected,,https://www.youtube.com/channel/UCgiOH9iQULzxSsyIBnEjWrw,2026-09-16T09:57:48.156Z,playwright,Corroborated — On Think Tanks directory | Source: https://onthinktanks.org/think-tank/indian-council-for-research-on-international-economic-relations/ | Directory-listed account; institutional backlink was not accessible in this review.
2026-09-16_09-25-17-709,055-x,Indian Council for Research on International Economic Relations,https://icrier.org,X,icrier,https://x.com/icrier,Followers,6267,6267,exact_public,collected,,https://x.com/icrier,2026-09-16T09:57:59.646Z,static,Verified — discovered on official website scan | Source: https://icrier.org/ | Discovered from https://icrier.org via fetch.
2026-09-16_09-25-17-709,055-linkedin,Indian Council for Research on International Economic Relations,https://icrier.org,LinkedIn,company/icrier,https://www.linkedin.com/company/icrier,Followers,43448,"43,448",exact_public,collected,,https://www.linkedin.com/company/icrier,2026-09-16T09:58:01.799Z,static,Corroborated — On Think Tanks directory | Source: https://onthinktanks.org/think-tank/indian-council-for-research-on-international-economic-relations/ | Directory-listed account; institutional backlink was not accessible in this review.
2026-09-16_09-25-17-709,055-instagram,Indian Council for Research on International Economic Relations,https://icrier.org,Instagram,icrier.res.in,https://www.instagram.com/icrier.res.in/,Followers,4518,4518,exact_public,collected,,https://www.instagram.com/icrier.res.in/,2026-09-16T09:58:03.311Z,playwright,Verified — discovered on official website scan | Source: https://icrier.org/ | Discovered from https://icrier.org via fetch.
2026-09-16_09-25-17-709,055-facebook,Indian Council for Research on International Economic Relations,https://icrier.org,Facebook,ICRIER,https://www.facebook.com/ICRIER/,Followers,2511,"2,511",exact_public,collected,,https://www.facebook.com/ICRIER/,2026-09-16T09:58:15.468Z,playwright,Verified — discovered on official website scan | Source: https://icrier.org/ | Discovered from https://icrier.org via fetch.
2026-09-16_09-25-17-709,056-youtube,Indian Council of World Affairs,https://www.icwa.in,YouTube,channel/UC0D1OMKLR5eVNIGJ01qKmXg,https://www.youtube.com/channel/UC0D1OMKLR5eVNIGJ01qKmXg,Subscribers,4350,4.35K,rounded_public,collected,,https://www.youtube.com/channel/UC0D1OMKLR5eVNIGJ01qKmXg,2026-09-16T09:58:28.731Z,playwright,Corroborated — On Think Tanks directory | Source: https://onthinktanks.org/think-tank/indian-council-of-world-affairs/ | Directory-listed account; institutional backlink was not accessible in this review.
2026-09-16_09-25-17-709,056-x,Indian Council of World Affairs,https://www.icwa.in,X,ICWA_NewDelhi,https://x.com/ICWA_NewDelhi,Followers,20456,20456,exact_public,collected,,https://x.com/ICWA_NewDelhi,2026-09-16T09:58:40.782Z,static,Verified — discovered on official website scan | Source: https://www.icwa.in/ | Discovered from https://www.icwa.in via playwright.
2026-09-16_09-25-17-709,056-linkedin,Indian Council of World Affairs,https://www.icwa.in,LinkedIn,company/indian-council-of-world-affairs1,https://www.linkedin.com/company/indian-council-of-world-affairs1,Followers,29484,"29,484",exact_public,collected,,https://www.linkedin.com/company/indian-council-of-world-affairs1,2026-09-16T09:58:43.804Z,static,Corroborated — On Think Tanks directory | Source: https://onthinktanks.org/think-tank/indian-council-of-world-affairs/ | Directory-listed account; institutional backlink was not accessible in this review.
2026-09-16_09-25-17-709,056-facebook,Indian Council of World Affairs,https://www.icwa.in,Facebook,Sapru.House,https://www.facebook.com/Sapru.House,Followers,7165,"7,165",exact_public,collected,,https://www.facebook.com/Sapru.House,2026-09-16T09:58:45.631Z,playwright,Verified — discovered on official website scan | Source: https://www.icwa.in/ | Discovered from https://www.icwa.in via playwright.
2026-09-16_09-25-17-709,057-youtube,Indira Gandhi Institute of Development Research,https://www.igidr.ac.in,YouTube,user/igidrhelpdesk,https://www.youtube.com/user/igidrhelpdesk,Subscribers,1560,1.56K,rounded_public,collected,,https://www.youtube.com/user/igidrhelpdesk,2026-09-16T09:58:58.249Z,playwright,Verified — institutional link | Source: http://www.igidr.ac.in
2026-09-16_09-25-17-709,057-x,Indira Gandhi Institute of Development Research,https://www.igidr.ac.in,X,Igidr_Mumbai,https://x.com/Igidr_Mumbai,Followers,4438,4438,exact_public,collected,,https://x.com/Igidr_Mumbai,2026-09-16T09:59:08.954Z,static,Verified — institutional link | Source: http://www.igidr.ac.in
2026-09-16_09-25-17-709,057-linkedin,Indira Gandhi Institute of Development Research,https://www.igidr.ac.in,LinkedIn,school/15095099,https://www.linkedin.com/school/15095099,,,,,count_not_found,count not found in public page,https://www.linkedin.com/authwall?trk=gf&trkInfo=AQFxw4fzTBcV3wAAAaCpqAUgOOLGq0Vua93jAGoyeg_DvowYGKBZQVC6SZ2NGreNnhQfqCyT2MEPhWyoyT2g5QVh-dMxcdEsRif8s1md7Z4F2hSURnzocVP8eaN1Pdt2CQVm1FE=&original_referer=&sessionRedirect=https%3A%2F%2Fwww.linkedin.com%2Fschool%2F15095099,2026-09-16T09:59:11.716Z,playwright,Verified — institutional link | Source: http://www.igidr.ac.in
